id_nodo; timestamp; temperatura; humedad; CO2; volatiles
undefined;1707402752873;24.5;68.2;293;112
undefined;1707402752886;24.5;68.2;293;112
undefined;1707402752911;24.5;68.2;293;112
undefined;1707402752931;24.5;68.2;293;112
undefined;1707402752947;24.5;68.2;293;112
undefined;1707402752963;24.5;68.2;293;112
undefined;1707402752983;24.5;68.2;293;112
undefined;1707402752999;24.5;68.2;293;112
undefined;1707402753015;24.5;68.2;293;112
undefined;1707402753029;24.5;68.2;293;112
undefined;1707402753066;24.5;68.2;293;112
undefined;1707402753080;24.5;68.2;293;112
undefined;1707402753098;24.5;68.2;293;112
undefined;1707402753117;24.5;68.2;293;112
undefined;1707402753131;24.5;68.2;293;112
undefined;1707402753158;24.5;68.2;293;112
undefined;1707402753176;24.5;68.2;293;112
undefined;1707402753190;24.5;68.2;293;112
undefined;1707402753220;24.5;68.2;293;112
undefined;1707402753237;24.5;68.2;293;112
undefined;1707402753254;24.5;68.2;293;112
undefined;1707402753271;24.5;68.2;293;112
undefined;1707402753284;24.5;68.2;293;112
undefined;1707402753325;24.5;68.2;293;112
undefined;1707402753352;24.5;68.2;293;112
undefined;1707402753367;24.5;68.2;293;112
undefined;1707402753380;24.5;68.2;293;112
undefined;1707402753394;24.5;68.2;293;112
undefined;1707402753410;24.5;68.2;293;112
undefined;1707402753430;24.5;68.2;293;112
undefined;1707402753446;24.5;68.2;293;112
undefined;1707402753457;24.5;68.2;293;112
undefined;1707402753475;24.5;68.2;293;112
undefined;1707402753486;24.5;68.2;293;112
undefined;1707402753496;24.5;68.2;293;112
undefined;1707402753514;24.5;68.2;293;112
undefined;1707402753524;24.5;68.2;293;112
undefined;1707402753536;24.5;68.2;293;112
undefined;1707402753558;24.5;68.2;293;112
undefined;1707402753573;24.5;68.2;293;112
undefined;1707402753586;24.5;68.2;293;112
undefined;1707402753597;24.5;68.2;293;112
undefined;1707402753611;24.5;68.2;293;112
undefined;1707402753624;24.5;68.2;293;112
undefined;1707402753635;24.5;68.2;293;112
undefined;1707402753647;24.5;68.2;293;112
undefined;1707402753663;24.5;68.2;293;112
undefined;1707402753679;24.5;68.2;293;112
undefined;1707402753697;24.5;68.2;293;112
undefined;1707402753726;24.5;68.2;293;112
undefined;1707402753737;24.5;68.2;293;112
undefined;1707402753750;24.5;68.2;293;112
undefined;1707402753781;24.5;68.2;293;112
undefined;1707402753794;24.5;68.2;293;112
undefined;1707402753806;24.5;68.2;293;112
undefined;1707402753826;24.5;68.2;293;112
undefined;1707402753839;24.5;68.2;293;112
undefined;1707402753853;24.5;68.2;293;112
undefined;1707402753870;24.5;68.2;293;112
undefined;1707402753892;24.5;68.2;293;112
undefined;1707402753909;24.5;68.2;293;112
undefined;1707402753986;24.5;68.2;293;112
undefined;1707402754009;24.5;68.2;293;112
undefined;1707402754036;24.5;68.2;293;112
undefined;1707402754052;24.5;68.2;293;112
undefined;1707402754076;24.5;68.2;293;112
undefined;1707402754094;24.5;68.2;293;112
undefined;1707402754105;24.5;68.2;293;112
undefined;1707402754122;24.5;68.2;293;112
undefined;1707402754138;24.5;68.2;293;112
undefined;1707402754188;24.5;68.2;293;112
undefined;1707402754225;24.5;68.2;293;112
undefined;1707402754238;24.5;68.2;293;112
undefined;1707402754249;24.5;68.2;293;112
undefined;1707402754263;24.5;68.2;293;112
