id_sensor; timestamp; temperatura; humedad; CO2; volatiles
11.1;1713264386721;16.42;88.32;153;0.50
11.1;1713264386859;73.28;50.24;337;1.82
11.1;1713264387547;32.39;164.84;359;1.18
11.1;1713264389238;55.97;78.62;51;1.16
11.1;1713264389487;67.57;28.17;226;0.57
11.1;1713264391076;5.27;170.81;32;2.57
11.1;1713264392111;20.86;134.11;118;1.89
11.1;1713264393147;4.85;27.77;262;0.71
11.1;1713264393676;65.37;168.52;114;1.39
11.1;1713264395585;72.47;149.25;416;0.22
11.1;1713264395648;29.24;18.82;356;1.12
11.1;1713264396142;23.65;60.69;118;1.68
11.1;1713264396608;57.04;75.53;402;0.96
11.1;1713264396679;61.40;18.15;150;2.35
11.1;1713264398287;46.28;172.06;493;2.10
11.1;1713264398391;55.30;49.22;377;2.90
11.1;1713264398701;16.62;196.02;403;2.86
11.1;1713264398991;59.99;138.68;450;1.57
11.1;1713264399203;27.08;131.92;92;1.01
11.1;1713264401009;29.71;70.94;156;1.87
11.1;1713264401158;62.20;114.40;117;0.62
11.1;1713264402583;44.61;35.35;378;1.81
11.1;1713264403199;86.24;139.30;78;2.65
11.1;1713264404935;7.59;161.15;257;2.18
11.1;1713264405803;58.70;165.85;304;3.00
11.1;1713264405911;81.04;197.72;190;2.74
11.1;1713264408512;29.16;66.66;119;1.58
11.1;1713264408800;41.07;44.63;144;1.61
11.1;1713264409529;19.06;79.21;204;0.63
11.1;1713264409738;91.59;124.62;117;1.44
11.1;1713264409925;97.19;72.90;427;2.77
11.1;1713264410218;65.27;40.80;477;1.49
11.1;1713264410316;36.37;38.87;26;2.72
11.1;1713264411408;84.33;109.51;272;2.54
11.1;1713264411520;89.21;93.48;298;0.63
11.1;1713264412854;91.32;31.31;1;1.05
11.1;1713264413894;4.90;177.13;492;1.64
11.1;1713264416336;41.73;78.77;317;1.85
11.1;1713264416340;7.49;163.17;262;1.27
11.1;1713264416910;79.06;174.88;427;1.88
11.1;1713264416959;63.92;6.65;451;0.17
11.1;1713264417574;96.51;111.26;221;0.09
11.1;1713264418296;73.30;101.95;92;1.74
11.1;1713264418823;65.32;136.49;30;1.89
11.1;1713264418984;0.40;184.23;432;2.52
11.1;1713264419996;35.73;187.38;244;2.27
11.1;1713264420057;26.43;178.12;146;2.95
11.1;1713264420237;18.68;33.73;97;2.20
11.1;1713264420364;29.48;130.70;12;2.19
11.1;1713264420934;50.40;148.76;373;0.60
11.1;1713264421103;17.38;168.44;457;0.27
11.1;1713264421224;29.18;11.95;437;2.65
11.1;1713264421554;89.13;172.91;146;2.17
11.1;1713264422245;98.92;61.72;279;0.74
11.1;1713264422496;17.57;155.41;489;0.18
11.1;1713264422574;66.86;158.20;104;2.91
11.1;1713264422605;87.74;197.17;28;0.54
11.1;1713264423210;27.25;94.11;179;1.66
11.1;1713264424050;0.02;34.58;455;2.15
11.1;1713264424087;53.31;181.87;127;0.66
11.1;1713264424180;16.52;163.91;487;0.14
11.1;1713264425083;24.75;39.13;431;0.64
11.1;1713264425287;27.87;156.89;386;1.65
11.1;1713264425296;81.08;21.19;76;1.80
11.1;1713264425522;91.39;115.39;116;1.67
11.1;1713264425992;12.47;114.82;198;0.85
11.1;1713264426115;57.40;194.04;360;0.63
11.1;1713264426265;40.83;9.77;80;2.25
11.1;1713264426918;68.63;6.98;493;1.53
11.1;1713264427384;74.81;94.01;414;2.30
11.1;1713264428214;46.29;179.80;224;1.02
11.1;1713264428799;26.48;24.17;407;2.02
11.1;1713264429354;21.91;98.84;201;2.39
11.1;1713264429886;90.48;111.03;207;1.58
11.1;1713264430004;45.89;80.68;96;1.93
11.1;1713264430265;22.51;91.12;268;0.98
11.1;1713264431317;98.97;195.00;462;2.00
11.1;1713264431650;60.50;161.61;451;0.99
11.1;1713264432344;89.94;181.43;342;0.33
11.1;1713264432610;58.09;136.61;154;1.83
11.1;1713264434056;12.02;130.68;276;2.36
11.1;1713264434820;48.14;187.34;437;0.81
11.1;1713264434850;44.39;108.86;211;2.64
11.1;1713264434972;64.59;104.76;352;2.73
11.1;1713264435773;79.29;23.05;180;0.07
11.1;1713264435780;97.16;125.08;470;0.63
11.1;1713264436198;47.35;158.00;123;2.87
11.1;1713264436432;71.08;142.71;384;0.67
11.1;1713264436633;32.91;53.58;310;0.15
11.1;1713264436952;35.11;134.09;218;1.90
11.1;1713264437396;76.45;129.27;471;0.16
11.1;1713264438265;43.34;99.26;256;1.81
11.1;1713264438292;31.89;104.87;170;1.49
11.1;1713264438854;23.93;75.77;230;1.91
11.1;1713264439088;58.57;54.74;60;0.53
11.1;1713264439523;7.63;13.41;192;0.59
11.1;1713264440236;35.53;167.62;67;1.07
11.1;1713264440561;43.50;122.14;134;0.89
11.1;1713264441051;75.10;74.30;395;1.71
11.1;1713264442039;34.85;45.24;470;1.52
11.1;1713264442146;57.36;116.83;482;1.86
11.1;1713264442400;35.55;118.06;377;1.99
11.1;1713264442976;90.38;111.66;449;2.16
11.1;1713264443622;15.00;141.67;480;1.50
11.1;1713264444227;77.27;181.99;244;1.88
11.1;1713264445494;65.17;88.72;445;1.12
11.1;1713264445534;10.21;163.00;207;1.94
11.1;1713264446366;87.05;165.04;463;2.58
11.1;1713264446752;75.74;55.75;304;1.06
11.1;1713264447580;11.33;38.98;88;1.36
11.1;1713264447894;65.05;168.75;304;0.21
11.1;1713264448512;19.51;127.39;201;2.63
11.1;1713264448944;9.35;16.49;294;1.85
11.1;1713264449474;57.53;104.19;370;1.56
11.1;1713264450019;87.25;199.95;65;0.78
11.1;1713264451871;53.83;59.83;367;0.05
11.1;1713264452082;71.10;199.63;346;2.17
11.1;1713264452331;35.84;46.74;230;0.31
11.1;1713264453312;95.58;105.82;250;1.55
11.1;1713264453920;41.80;36.65;200;1.88
11.1;1713264454129;25.74;44.84;117;0.75
11.1;1713264454571;89.10;37.19;12;0.16
11.1;1713264454999;49.75;78.25;472;1.05
11.1;1713264455132;26.52;120.86;114;2.74
11.1;1713264455813;48.04;76.26;391;1.23
11.1;1713264456325;21.76;15.69;408;1.69
11.1;1713264456884;65.89;84.18;37;0.22
11.1;1713264457225;36.69;49.97;269;1.36
11.1;1713264458360;27.39;151.46;350;0.96
11.1;1713264458949;90.53;118.02;73;1.83
11.1;1713264459444;50.47;162.51;259;1.69
11.1;1713264459562;0.15;85.01;468;2.09
11.1;1713264459589;33.20;179.82;304;2.22
11.1;1713264460895;56.01;89.46;138;1.36
11.1;1713264461320;73.71;127.24;385;1.62
11.1;1713264461556;24.57;4.01;381;1.45
11.1;1713264461601;32.64;166.27;56;2.57
11.1;1713264462678;51.83;147.18;41;2.03
11.1;1713264463408;49.69;22.47;389;0.86
11.1;1713264463936;81.41;43.73;100;2.07
11.1;1713264464126;21.72;141.36;257;0.07
11.1;1713264464973;9.46;142.78;179;2.06
11.1;1713264465213;47.21;147.10;247;1.03
11.1;1713264466352;11.50;128.59;447;0.64
11.1;1713264466698;98.72;100.33;305;2.96
11.1;1713264467459;73.91;93.67;343;0.24
11.1;1713264467839;16.73;38.65;117;0.77
11.1;1713264469329;64.42;47.23;62;0.65
11.1;1713264471121;19.88;14.93;176;2.39
11.1;1713264471271;15.98;14.27;374;0.91
11.1;1713264472107;55.95;188.26;246;2.53
11.1;1713264472715;63.99;145.69;215;2.18
11.1;1713264472832;18.71;159.93;18;0.71
11.1;1713264473867;26.73;177.60;84;2.28
11.1;1713264474071;4.64;132.96;205;2.48
11.1;1713264474087;19.54;171.55;324;1.53
11.1;1713264474369;59.99;21.62;209;1.25
11.1;1713264475025;69.65;141.01;139;1.03
11.1;1713264476145;20.17;102.66;66;0.04
11.1;1713264476664;64.87;89.49;476;0.74
11.1;1713264477563;58.11;86.63;61;1.47
11.1;1713264477642;39.11;155.58;41;2.47
11.1;1713264479053;48.77;73.49;459;0.76
11.1;1713264479601;94.45;73.31;131;1.03
11.1;1713264480509;32.67;150.38;431;1.02
11.1;1713264480712;23.42;165.43;15;0.69
11.1;1713264481165;59.10;18.47;497;0.20
11.1;1713264481792;15.08;96.58;427;2.78
11.1;1713264481924;59.54;60.76;285;2.01
11.1;1713264482471;47.50;102.94;411;0.23
11.1;1713264482576;31.55;37.72;73;0.36
11.1;1713264483565;20.31;98.81;353;1.38
11.1;1713264484342;35.05;91.78;12;1.95
11.1;1713264484552;73.18;1.86;205;2.11
11.1;1713264484598;62.21;133.37;474;0.66
11.1;1713264485171;11.35;44.02;493;2.77
11.1;1713264486027;44.01;163.27;480;0.57
11.1;1713264486345;9.30;10.59;477;0.93
11.1;1713264486998;70.96;72.96;176;0.06
11.1;1713264487251;2.60;47.03;152;0.33
11.1;1713264488769;42.23;82.82;31;2.11
11.1;1713264489313;33.29;91.55;287;1.47
11.1;1713264489374;36.21;82.94;216;2.89
11.1;1713264489687;78.44;14.91;492;0.35
11.1;1713264489906;70.81;66.38;208;2.22
11.1;1713264489952;20.76;102.24;162;2.37
11.1;1713264490360;89.25;100.95;203;2.42
11.1;1713264490916;39.88;41.72;359;1.52
11.1;1713264491077;86.09;129.10;59;2.15
11.1;1713264491095;28.41;114.65;495;1.76
11.1;1713264491115;92.71;27.38;110;2.57
11.1;1713264491416;22.71;147.14;109;2.24
11.1;1713264492231;83.75;130.90;352;1.51
11.1;1713264492253;31.43;179.84;245;1.43
11.1;1713264492293;81.64;154.55;322;1.75
11.1;1713264493095;22.04;119.48;275;2.90
11.1;1713264493108;20.50;63.82;376;2.10
11.1;1713264493640;7.16;164.07;64;1.40
11.1;1713264494024;80.90;46.74;95;1.06
11.1;1713264494446;53.48;73.21;339;1.54
11.1;1713264494521;51.77;161.80;226;0.22
11.1;1713264494632;58.11;10.52;217;2.67
11.1;1713264495403;69.23;196.57;320;0.77
11.1;1713264495863;59.22;185.38;196;2.62
11.1;1713264496231;83.59;142.47;268;1.99
11.1;1713264496576;34.23;76.15;130;1.99
11.1;1713264496868;16.31;107.20;121;1.62
11.1;1713264499077;96.85;42.45;20;1.24
11.1;1713264499636;44.76;11.90;411;2.92
11.1;1713264500505;41.97;112.43;76;0.58
11.1;1713264500598;42.55;110.54;225;1.90
11.1;1713264501157;55.16;66.20;466;1.75
11.1;1713264501999;68.69;142.93;42;1.51
11.1;1713264502046;70.83;144.01;210;2.25
11.1;1713264502105;51.62;77.53;433;0.35
11.1;1713264503193;48.34;149.40;69;2.49
11.1;1713264503827;37.06;5.80;276;0.00
11.1;1713264504109;8.69;148.52;252;0.71
11.1;1713264504661;29.33;12.52;271;2.88
11.1;1713264505874;22.57;111.72;118;1.86
11.1;1713264507140;56.58;29.24;204;2.48
11.1;1713264507359;15.49;162.43;368;2.79
11.1;1713264507431;17.71;52.38;274;1.17
11.1;1713264507730;30.60;47.56;405;1.06
11.1;1713264507993;50.35;58.91;64;0.98
11.1;1713264508854;94.10;14.56;207;2.78
11.1;1713264509395;15.49;78.38;72;0.34
11.1;1713264510033;71.43;170.47;388;2.05
11.1;1713264510653;68.05;163.68;346;1.44
11.1;1713264510908;50.56;52.80;26;2.10
11.1;1713264511587;5.76;6.67;356;2.34
11.1;1713264511705;62.41;132.42;175;2.42
11.1;1713264512175;34.34;168.70;10;1.61
11.1;1713264512354;61.43;84.30;6;2.63
11.1;1713264512514;69.67;59.42;440;0.34
11.1;1713264512614;25.76;185.13;430;0.93
11.1;1713264512742;70.71;9.55;12;2.25
11.1;1713264512791;41.82;77.84;414;1.76
11.1;1713264513011;86.87;150.03;386;0.06
11.1;1713264513072;15.66;16.12;19;1.75
11.1;1713264513191;56.15;138.61;449;1.81
11.1;1713264513789;72.40;93.43;412;2.99
11.1;1713264513953;85.29;6.46;87;2.68
11.1;1713264514840;84.77;187.10;378;1.77
11.1;1713264515162;8.33;40.97;227;1.56
11.1;1713264515728;1.95;132.02;238;0.58
11.1;1713264515740;19.66;10.19;107;2.26
11.1;1713264516622;44.69;22.77;452;0.45
11.1;1713264516943;74.78;132.74;125;0.57
11.1;1713264517134;24.17;27.24;432;0.85
11.1;1713264517282;78.26;53.36;274;0.41
11.1;1713264517395;45.24;62.12;214;0.70
11.1;1713264518463;82.06;146.36;411;0.13
11.1;1713264519570;19.83;161.72;109;1.48
11.1;1713264519851;53.07;144.37;424;0.82
11.1;1713264520060;28.99;2.68;496;2.07
